faq_id,question,answer,intent,source,last_updated
UNK0001,Tell me a joke variation 1,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0002,Write a poem variation 2,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0003,What is AI? variation 3,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0004,How to cook pasta? variation 4,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0005,Book a flight variation 5,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0006,What is blockchain? variation 6,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0007,Who won the World Cup? variation 7,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0008,What is the weather today? variation 8,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0009,Explain quantum physics variation 9,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0010,What is the capital of France? variation 10,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0011,Tell me a joke variation 11,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0012,Write a poem variation 12,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0013,What is AI? variation 13,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0014,How to cook pasta? variation 14,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0015,Book a flight variation 15,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0016,What is blockchain? variation 16,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0017,Who won the World Cup? variation 17,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0018,What is the weather today? variation 18,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0019,Explain quantum physics variation 19,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
UNK0020,What is the capital of France? variation 20,I am not fully sure. Please rephrase your question or contact support.,unknown,synthetic,2026-04-09
