question,intent,answer,source,metadata
change bank account please,bank_details,This is the answer for bank details.,generated,{}
need new laptop urgently,laptop_request,This is the answer for laptop request.,generated,{}
how to claim expenses asap,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
access payslip please,payslip_access,This is the answer for payslip access.,generated,{}
access payslip please,payslip_access,This is the answer for payslip access.,generated,{}
salary processing date asap,payroll_dates,This is the answer for payroll dates.,generated,{}
request leave process asap,leave_request,This is the answer for leave request.,generated,{}
how to update bank details,bank_details,This is the answer for bank details.,generated,{}
what is leave policy please,leave_policy,This is the answer for leave policy.,generated,{}
how to reset vpn password,vpn_reset,This is the answer for vpn reset.,generated,{}
leave eligibility details urgently,leave_policy,This is the answer for leave policy.,generated,{}
when is salary credited asap,payroll_dates,This is the answer for payroll dates.,generated,{}
expense reimbursement process please,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
salary date please,payroll_dates,This is the answer for payroll dates.,generated,{}
how to get vpn access please,vpn_access,This is the answer for vpn access.,generated,{}
reset my vpn credentials urgently,vpn_reset,This is the answer for vpn reset.,generated,{}
reimburse expenses asap,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
reimburse expenses,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
how many leaves do i get,leave_policy,This is the answer for leave policy.,generated,{}
when is salary credited,payroll_dates,This is the answer for payroll dates.,generated,{}
request device asap,laptop_request,This is the answer for laptop request.,generated,{}
bank details update process,bank_details,This is the answer for bank details.,generated,{}
apply leave in system,leave_request,This is the answer for leave request.,generated,{}
where is my payslip urgently,payslip_access,This is the answer for payslip access.,generated,{}
work from home guidelines please,wfh_policy,This is the answer for wfh policy.,generated,{}
leave rules company please,leave_policy,This is the answer for leave policy.,generated,{}
how to download payslip please,payslip_access,This is the answer for payslip access.,generated,{}
enable vpn access asap,vpn_access,This is the answer for vpn access.,generated,{}
how can i change vpn password please,vpn_reset,This is the answer for vpn reset.,generated,{}
expense reimbursement process,expense_reimbursement,This is the answer for expense reimbursement.,generated,{}
what is leave policy,leave_policy,This is the answer for leave policy.,generated,{}
view salary slip asap,payslip_access,This is the answer for payslip access.,generated,{}
update salary account please,bank_details,This is the answer for bank details.,generated,{}
leave application steps please,leave_request,This is the answer for leave request.,generated,{}
request vpn access please,vpn_access,This is the answer for vpn access.,generated,{}
reset my vpn credentials urgently,vpn_reset,This is the answer for vpn reset.,generated,{}
remote work policy,wfh_policy,This is the answer for wfh policy.,generated,{}
