faq_id,question,answer,intent,source,last_updated
FAQ0001,How can I create an account?,"To create an account, click on the 'Sign Up' button on the top right corner of our website and follow the instructions to complete the registration process.",account_checkout,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0002,What payment methods do you accept?,"We accept major credit cards, debit cards, and PayPal as payment methods for online orders.",payment_promotions,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0003,How can I track my order?,"You can track your order by logging into your account and navigating to the 'Order History' section. There, you will find the tracking information for your shipment.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0004,What is your return policy?,"Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.",returns_refunds,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0005,Can I cancel my order?,"You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0006,How long does shipping take?,"Shipping times vary depending on the destination and the shipping method chosen. Standard shipping usually takes 3-5 business days, while express shipping can take 1-2 business days.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0007,Do you offer international shipping?,"Yes, we offer international shipping to select countries. The availability and shipping costs will be calculated during the checkout process based on your location.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0008,What should I do if my package is lost or damaged?,"If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue.",order_issues,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0009,Can I change my shipping address after placing an order?,"If you need to change your shipping address, please contact our customer support team as soon as possible. We will do our best to update the address if the order has not been shipped yet.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0010,How can I contact customer support?,You can contact our customer support team by phone at [phone number] or by email at [email address]. Our team is available [working hours] to assist you with any inquiries or issues you may have.,support_contact,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0011,Do you offer gift wrapping services?,"Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",gift_special_services,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0012,What is your price matching policy?,We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.,payment_promotions,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0013,Can I order by phone?,"Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0014,Are my personal and payment details secure?,"Yes, we take the security of your personal and payment details seriously. We use industry-standard encryption and follow strict security protocols to ensure your information is protected.",account_checkout,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0015,What is your price adjustment policy?,"If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",payment_promotions,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0016,Do you have a loyalty program?,"Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.",payment_promotions,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0017,Can I order without creating an account?,"Yes, you can place an order as a guest without creating an account. However, creating an account offers benefits such as order tracking and easier future purchases.",account_checkout,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0018,Do you offer bulk or wholesale discounts?,"Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.",payment_promotions,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0019,Can I change or cancel an item in my order?,"If you need to change or cancel an item in your order, please contact our customer support team as soon as possible. We will assist you with the necessary steps.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0020,How can I leave a product review?,"To leave a product review, navigate to the product page on our website and click on the 'Write a Review' button. You can share your feedback and rating based on your experience with the product.",engagement_feedback,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0021,Can I use multiple promo codes on a single order?,"Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.",payment_promotions,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0022,What should I do if I receive the wrong item?,"If you receive the wrong item in your order, please contact our customer support team immediately. We will arrange for the correct item to be shipped to you and assist with returning the wrong item.",order_issues,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0023,Do you offer expedited shipping?,"Yes, we offer expedited shipping options for faster delivery. During the checkout process, you can select the desired expedited shipping method.",orders_shipping,MakTek Customer Support FAQs Dataset,2026-04-08
FAQ0024,Can I order a product that is out of stock?,"If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.",product_availability,MakTek Customer Support FAQs Dataset,2026-04-08
